id,Hardness,allelectrons_Total,density_Total,allelectrons_Average,val_e_Average,atomicweight_Average,ionenergy_Average,el_neg_chi_Average,R_vdw_element_Average,R_cov_element_Average,zaratio_Average,density_Average
15,5.5,278.0,26.917984,13.6,4.4,29.680678624999995,10.833850000000002,2.502,1.7080000000000002,0.951,0.490932,1.15072
16,5.5,106.0,22.81264,13.714285714285715,4.285714285714286,29.110017142857146,11.1016,2.225714285714285,1.7242857142857144,0.9285714285714286,0.4898942857142857,1.4092
17,2.5,41.0,1.7428315,4.0,4.0,8.71100505325,12.0863,2.5660000000000003,1.4580000000000002,0.642,0.687868,0.58344
18,5.5,250.0,27.10599,12.5,4.8,24.50301875,10.78917,2.682,1.7795,0.964,0.4911100000000001,0.94589
19,6.3,58.0,11.874,19.33333333333333,4.666666666666667,39.987666666666655,9.5408,2.33,1.88,1.106666666666667,0.4878333333333333,1.43111
20,6.0,98.0,8.42666,12.8,4.8,25.077338,11.17714,2.675,1.736,0.914,0.498984,1.80922
21,6.3,52.0,9.773996,12.5,4.5,26.20264325,11.33182,2.7635,1.7420000000000002,0.8699999999999999,0.4978194999999999,1.89676
22,2.5,46.0,9.014328,22.0,2.6666666666666665,48.7195,9.01375,2.3816666666666664,1.8000000000000005,1.0366666666666668,0.478705,4.11583
23,4.3,120.0,8.941324,10.0,5.333333333333333,20.185395713333328,11.824266666666665,2.875,1.7658333333333334,0.9683333333333334,0.49968,0.74774
24,1.5,42.0,0.359328,20.5,4.0,43.498522,9.08885,2.24,2.25,1.29,0.4776649999999999,0.27323
25,5.8,268.0,23.3814855,12.125,4.125,24.556188775,11.9389125,2.6703125,1.7265625,0.9684375,0.59942625,1.43111
26,5.0,135.0,11.206324,25.0,5.333333333333333,54.501263666333344,11.5267,2.98,1.731666666666667,0.9733333333333332,0.4736966666666666,0.42861
27,6.3,58.0,11.874,19.33333333333333,4.333333333333333,39.987666666666655,9.5408,2.33,1.88,1.11,0.4878333333333333,2.48089
28,5.5,68.0,4.03,13.0,4.0,29.525338,10.629,2.675,1.875,0.945,0.490932,1.02228
29,3.5,156.0,19.334,26.0,4.0,68.56273,9.159866666666668,2.14,1.9433333333333327,1.2333333333333334,0.4488266666666667,1.775
30,6.5,100.0,7.558488000000001,10.0,4.8,20.2988926326,12.04083,2.755,1.6310000000000002,0.91,0.4927189999999999,0.87554
31,3.8,30.0,2.70174775,7.4,3.8,15.883778031249998,11.974778125,2.6725000000000003,1.495,0.71,0.6513800000000001,0.4332
32,6.0,122.0,13.385996,20.2,4.8,43.22643236074271,11.1994,2.884,1.736,0.936,0.467568,2.0416
33,2.5,46.0,1.741332,6.4,4.0,12.0096,9.01375,2.295,1.31,0.36,0.4756775,0.13389
34,4.3,100.0,7.900992,10.0,4.0,20.255278375,9.273855,2.455,1.87,1.3,0.4927359999999999,0.924
35,2.5,100.0,8.337992,10.0,4.0,20.9941265318,11.28095,2.727,1.732,0.8959999999999999,0.49282,1.06784
36,3.8,235.0,60.67400000000001,23.5,4.0,49.204038,9.8771,2.3080000000000003,1.866,1.12,0.477015,4.937
37,5.8,58.0,4.075328000000002,11.333333333333336,4.666666666666667,22.417181666666664,11.711716666666668,2.775,1.7233333333333334,0.925,0.4916733333333334,0.51954
38,5.3,63.0,9.13689925,10.6,4.8,23.231818,11.023840000000002,2.644,1.794,0.914,0.499514,1.91369
39,6.0,100.0,8.173914999999997,10.0,4.8,20.2988926326,12.04083,2.755,1.6310000000000002,0.91,0.4927189999999999,0.81739
40,4.0,108.0,7.558488000000001,10.8,4.8,20.016938,11.64556,2.774,1.714,0.774,0.498984,0.69519
41,3.3,184.0,40.747992,24.66666666666667,4.333333333333333,53.05033333333333,9.273855,2.248333333333333,1.88,1.106666666666667,0.4613183333333333,5.86433
42,5.5,30.0,2.3326640000000003,10.0,4.0,20.185395713333328,11.749633333333335,2.865,1.7266666666666666,0.9666666666666668,0.4966916666666667,0.87554
43,6.0,72.0,10.96,12.0,4.0,24.808518,11.28095,2.115,1.87,1.1,0.498568000000001,1.06784
44,2.5,112.0,7.312664,18.666666666666668,4.0,41.07402,11.674016666666668,2.7266666666666666,1.68,0.92,0.4789183333333333,2.70793
45,3.8,82.0,10.507072,41.0,4.0,93.8846,9.695,2.445,1.98,1.265,0.436875,5.50017
46,3.5,79.0,8.836996000000001,39.5,5.5,98.3407975,10.5174,2.58,1.8200000000000005,1.04,0.49897,0.86614
47,6.3,58.0,11.874,19.33333333333333,4.666666666666667,39.987666666666655,9.5408,2.33,1.88,1.106666666666667,0.4878333333333333,1.9548
48,5.5,68.0,4.03,13.5,4.0,29.525338,11.2603,2.755,1.7,0.945,0.4927189999999999,1.04032
49,3.8,46.0,9.133,23.0,4.0,48.7195,10.347,2.445,1.88,1.14,0.4776649999999999,1.3702
50,2.5,30.0,2.70174775,7.5,4.0,14.996859625,11.876775,2.79,1.5460000000000005,0.7380000000000001,0.5427912500000001,0.61167
51,3.8,46.0,9.133,23.0,4.0,48.7195,9.8771,2.675,1.765,1.12,0.462985,4.937
52,5.5,288.0,22.81264,10.0,4.571428571428571,20.09830285714286,10.967771428571426,2.611428571428572,1.747142857142857,0.94625,0.4980028571428571,0.85961
53,6.0,74.0,14.7341515,14.8,4.0,29.94401875,10.39875,2.7425,1.855,1.0399999999999998,0.4818274999999999,1.36305
54,6.0,108.0,8.337992,13.2,4.8,29.525338,11.17714,2.675,1.736,0.914,0.498984,2.37162
55,5.5,136.0,11.202328,11.333333333333336,4.666666666666667,23.033434166666662,11.8264,2.8766666666666665,1.705,0.905,0.4881633333333333,1.7909
56,2.5,192.0,0.993114645,8.0,4.0,16.332807916666667,13.161829166666667,2.668,1.5283333333333333,0.68,0.5803358333333333,0.69207
57,6.0,90.0,13.747992000000002,18.0,5.6,39.568056,11.14446,2.298,1.7020000000000004,0.9,0.45825,2.2928
58,6.0,50.0,4.663996,10.0,4.8,20.9941265318,10.565180000000002,2.766,1.731,0.964,0.4960699999999999,0.80212
59,5.5,112.0,13.385996,12.1,4.4,26.385218,11.72784,2.502,1.7400000000000002,0.936,0.48502,2.37162
60,6.0,118.0,14.485992,11.6,4.8,24.789618,11.288,2.8680000000000003,1.7200000000000002,0.8649999999999999,0.476196,1.81103
61,5.5,122.0,6.697992,12.5,4.5,24.50301875,11.43734,2.6695,1.7574999999999998,0.94,0.49425875,1.38697
62,2.5,100.0,5.203996,10.0,4.8,20.016938,10.565180000000002,2.755,1.714,0.91,0.4927189999999999,0.91755
63,6.5,74.0,24.70666,14.333333333333336,5.333333333333333,30.61252,11.143366666666669,2.53,1.7166666666666668,0.9666666666666668,0.48449,1.0804
64,1.5,70.0,17.59,70.0,4.0,167.39999999999995,8.65415,2.045,2.1,1.36,0.42668,2.07315
65,5.5,390.0,31.2321355,9.219512195121949,4.902439024390244,18.290941327160485,11.652827644230769,2.715365853658537,1.6485365853658531,0.8517073170731708,0.498454,0.65306
66,2.0,214.0,25.494,42.8,5.6,102.82756,9.1302,2.3080000000000003,1.9072,1.2,0.4618992,5.10922
67,2.5,96.0,15.43,48.0,3.5,111.34115,9.01375,2.2225,2.0975,1.36,0.42668,5.07625
68,1.3,192.0,2.3341635000000003,4.666666666666667,4.666666666666667,9.559684638888893,13.652933333333332,2.7533333333333334,1.3355555555555556,0.5244444444444445,0.7450291666666667,1.0047
69,5.8,38.0,4.542664,12.666666666666664,4.666666666666667,26.621686666666665,11.354766666666668,2.806666666666666,1.7166666666666668,0.92,0.4865066666666666,1.06583
70,2.0,96.0,1.741332,48.0,4.0,116.3255,10.39875,1.79,2.055,1.36,0.499,0.0
71,5.5,108.0,7.876747749999999,10.75,3.75,21.985986,12.18425,2.6225,1.5096,0.945,0.498984,1.00244
72,6.0,66.0,6.093996,13.6,4.8,27.188418,11.288,2.754,1.7400000000000002,0.86,0.490932,1.31786
73,2.8,284.0,45.231992,23.8,5.6,49.204038,9.65936,2.279,1.9072,1.2,0.457149,5.86433
74,3.0,100.0,5.876907999999999,10.0,4.833333333333333,20.37700576923077,13.161829166666667,2.755,1.7133333333333336,0.8959999999999999,0.4982824999999999,0.70966
75,5.8,92.0,10.837324,19.33333333333333,4.666666666666667,39.987666666666655,9.5408,2.33,1.88,1.106666666666667,0.4878333333333333,1.24267
76,5.5,347.0,30.841971,18.78125,4.78125,41.861923125,10.91354375,2.7184,1.788125,0.94625,0.483298125,2.0416
77,3.0,134.0,13.053996,21.0,4.0,49.496,9.1302,2.03,1.9,1.2,0.474714,3.3354
78,3.5,108.0,6.697992,9.0,4.8,18.60817185,11.64556,2.6870000000000003,1.6780000000000002,0.8959999999999999,0.499404,0.62985
79,5.8,56.0,6.394996,18.666666666666668,4.0,41.07402,11.354766666666668,2.806666666666666,1.8166666666666669,1.15,0.46833,1.22872
80,6.0,100.0,8.147992,10.0,4.8,20.077018,11.33044,2.7060000000000004,1.6780000000000002,0.892,0.498454,0.80631
81,6.8,93.0,10.209328,9.5,4.8,20.185395713333328,10.89726,2.755,1.6309999999999998,0.9259999999999998,0.4911100000000001,0.74511
82,5.0,90.0,11.35441075,9.0,4.333333333333333,19.90978033833333,12.162431666666668,2.6916666666666664,1.592,0.7380000000000001,0.5982450000000001,1.16243
83,6.0,100.0,5.230979499999999,10.0,4.8,20.3920334,11.616572,2.708,1.648,0.8800000000000001,0.4927359999999999,0.55823
84,2.5,132.0,13.355328,22.0,3.6666666666666665,47.8025,9.138583333333331,2.248333333333333,1.908333333333333,1.12,0.4743239999999999,5.67675
85,1.3,62.0,3.6474955,5.0,3.333333333333333,9.559684638888893,13.161829166666667,2.1466666666666665,1.336666666666667,0.5583333333333333,0.7650095833333334,0.37005
86,2.3,144.0,32.91,48.0,4.0,116.3255,9.08885,2.14,1.88,1.1933333333333334,0.448895,10.97
87,2.8,90.0,6.697992,18.0,4.8,39.466738,12.63188,2.279,1.9072,0.938,0.4679350000000001,0.38903
88,3.3,38.0,1.7,18.0,4.0,43.952,9.6769,2.28,1.88,1.14,0.4822649999999999,1.0047
89,5.5,70.0,7.425575999999999,10.0,4.571428571428571,20.323313857142857,11.361271428571428,2.225714285714285,1.6414285714285717,0.92,0.4939185714285714,1.4092
90,6.0,96.0,7.44274775,12.0,4.0,24.50301875,12.06715,2.0200000000000005,1.86625,1.2,0.4862359999999999,1.0804
91,2.5,100.0,7.134331999999999,10.0,5.0,20.3920334,11.33044,2.805,1.705,0.9259999999999998,0.49901,0.7901
92,2.5,80.0,5.230979499999999,10.0,4.0,20.15577185,12.055304761904766,2.6366666666666663,1.6766666666666667,0.9666666666666668,0.4965590476190476,0.57713
93,6.0,144.0,17.215328,18.0,4.8,40.689515,10.13144,2.81,1.7420000000000002,0.96,0.496167,2.40189
94,5.5,116.0,13.477328,11.4,4.4,24.5691257,10.565180000000002,2.7380000000000004,1.7420000000000002,0.928,0.48502,1.0047
95,3.5,92.0,6.093996,9.2,4.8,18.439538,11.79886,2.805,1.656,0.8240000000000001,0.498454,0.48409
96,4.3,43.0,7.4428315,6.5,4.0,12.79950666666667,11.795966666666668,2.6725000000000003,1.495,0.71,0.4995066666666667,0.61805
97,5.5,100.0,7.134331999999999,10.0,4.8,20.213348778,11.20276,2.727,1.767,0.91,0.4907199999999999,0.80212
98,2.5,100.0,7.957992,10.0,4.8,20.3920334,12.04083,2.8280000000000003,1.656,0.945,0.4927359999999999,0.78937
99,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,5.0,78.0,13.747992000000002,15.6,4.8,33.739258,11.46526,2.752,1.7380000000000002,0.946,0.4673040000000001,3.78486
101,6.0,100.0,7.558488000000001,10.0,4.0,20.9941265318,10.73364,2.6,1.75,0.96,0.4957955,0.45491
102,6.0,38.0,3.253996,13.0,4.0,29.680678624999995,11.275333333333334,2.8480000000000003,1.75,0.9488888888888888,0.4927359999999999,0.86102
103,6.0,96.0,11.354575,18.75,4.25,43.952,10.5015125,2.24,1.9425,1.22,0.479965,1.27179
104,6.3,106.0,11.463996000000002,11.6,4.8,24.847737,11.2603,2.7060000000000004,1.6780000000000002,0.899,0.489486,1.6865
105,3.0,228.0,17.92724225,28.5,5.5,67.9394,12.046624,2.8280000000000003,1.573,0.836,0.47907,3.3354
106,5.3,68.0,3.253996,13.6,4.8,29.525338,11.28095,2.53,1.732,0.86,0.4927989999999999,1.51422
107,3.0,80.0,5.62148,10.0,4.8,20.9941265318,12.63188,2.7635,1.714,0.882,0.4941109999999999,0.99311
108,5.3,46.0,8.836996000000001,20.375,3.75,46.9564675,9.05335,2.2225,1.923333333333333,1.135,0.4767116666666666,1.11239
109,6.0,136.0,14.22,14.333333333333336,4.666666666666667,33.33735333333333,11.33182,2.8266666666666667,1.8316666666666666,0.9333333333333332,0.4810716666666666,1.42262
110,2.0,90.0,8.228992,18.0,4.8,39.568056,11.46526,2.7270000000000003,1.767,0.936,0.476095,2.41982
111,2.8,120.0,7.251328,9.285714285714286,4.571428571428571,18.60817185,11.56352857142857,2.9042857142857144,1.626,0.8480000000000001,0.4943871428571429,0.71879
112,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49494
113,2.5,92.0,17.34639975,46.0,4.0,113.1572575,11.759620000000002,2.53,1.88,1.11,0.474714,6.2105
114,2.5,146.0,13.355328,48.66666666666666,3.6666666666666665,119.6295,8.888349999999997,2.0733333333333333,2.0933333333333333,1.36,0.4269199999999999,1.9548
115,6.0,100.0,8.147992,10.0,4.8,20.077018,11.33044,2.7060000000000004,1.6780000000000002,0.892,0.498454,0.86162
116,5.5,92.0,19.334,30.66666666666667,4.0,68.56273,9.159866666666668,1.95,1.913333333333333,1.2133333333333332,0.4488266666666667,6.16352
117,4.0,20.0,0.675436,10.0,4.8,20.2988926326,12.30176,2.774,1.654,0.8959999999999999,0.499514,0.62275
118,2.5,200.0,27.10599,50.0,3.2,117.386335,8.31996,2.3080000000000003,1.9072,1.4220000000000002,0.448895,6.16352
119,5.5,72.0,11.35441075,8.0,4.78125,17.77768123505882,11.70255,2.5746875,1.5509999999999995,0.7124999999999999,0.6522603125,0.53898
120,2.8,790.0,61.237971,39.5,5.3,93.78445,9.695,2.3680000000000003,1.9072,1.1949999999999998,0.44942,4.57578
121,7.0,538.0,61.142464,8.84375,4.625335832978723,16.332807916666667,11.909720000000002,2.7640256959314775,1.57256959314777,0.7883333333333334,0.6055734246575343,1.0359
122,6.3,20.0,2.015,10.0,4.0,20.077018,10.347,2.225,1.855,0.945,0.4927359999999999,0.93524
123,3.8,210.0,26.7958,35.0,4.0,81.44716666666666,9.6903,2.3083333333333336,1.913333333333333,1.224,0.4169199999999999,4.57578
124,2.5,90.0,7.558488000000001,9.0,4.5,18.0920705775,12.24581,2.8200000000000003,1.5975,0.68,0.62374,0.5639
125,2.5,90.0,12.421,45.0,5.0,111.599515,9.1985,2.445,1.855,1.11,0.44942,5.2757
126,4.0,68.0,1.7428315,13.6,4.0,29.525338,10.75912,2.7380000000000004,1.7420000000000002,0.98,0.499514,0.99311
127,4.5,68.0,4.542664,15.5,5.333333333333333,33.33735333333333,11.5267,2.81,1.745,0.98,0.4824516666666666,1.26278
128,9.5,235.0,17.623983999999997,9.96,4.44,20.774804955,11.037175,2.7380000000000004,1.7199999999999998,0.945,0.4959359999999999,0.85358
129,5.5,58.0,4.243996,10.75,5.666666666666668,20.185395713333328,11.241433333333331,2.9599999999999995,1.7574999999999998,0.9666666666666666,0.4916733333333334,0.88799
130,6.5,100.0,8.147992,10.0,4.4,20.077018,11.33182,2.7960000000000003,1.7280000000000002,0.8800000000000001,0.4862359999999999,0.91457
131,2.5,219.0,40.747992,24.66666666666667,4.5,56.98088711111112,9.6903,2.248333333333333,1.923333333333333,1.16,0.4729766666666666,4.52755
132,6.0,30.0,2.9043280000000005,10.0,4.0,20.016938,11.14446,2.774,1.714,0.882,0.499726,0.91543
133,5.0,30.0,2.70174775,7.5,4.0,14.996859625,11.7051,2.6725000000000003,1.495,0.71,0.6184925,0.61167
134,6.0,116.0,10.207996,10.7,4.7,20.833018,10.909175,2.708,1.6780000000000002,0.91,0.4960699999999999,0.51006
135,2.5,114.0,9.773996,22.5,3.5,49.204038,9.0872,2.3080000000000003,1.9072,1.15,0.475954,0.45749
136,6.0,128.0,14.485992,12.8,4.8,24.84986224,11.79886,2.752,1.7880000000000005,0.964,0.485951,1.51422
137,6.8,60.0,12.831992,12.2,4.8,25.408218,11.33044,2.805,1.705,0.91,0.4911100000000001,1.66028
138,5.5,136.0,9.509324,11.333333333333336,5.333333333333333,23.231818,11.5267,2.8200000000000003,1.7466666666666668,0.89,0.48449,1.27179
139,3.8,93.0,10.082327,7.4,3.9166666666666665,14.898121783333334,12.8161,2.7716666666666665,1.4466666666666663,0.6208333333333335,0.6562183333333333,0.58543
140,4.3,114.0,27.179328,24.66666666666667,3.333333333333333,53.05033333333333,9.3432,2.8816666666666664,1.77,1.0833333333333333,0.4729766666666666,4.57578
141,1.8,79.0,16.676996,39.5,4.0,90.2267,9.695,1.98,1.855,1.1800000000000002,0.448895,2.45933
142,5.5,50.0,3.55,10.0,4.8,20.2988926326,10.565180000000002,2.675,1.905,0.905,0.4927359999999999,1.66028
143,5.0,90.0,11.463996000000002,19.0,5.0,39.568056,12.18425,2.735,1.545,0.695,0.61443,3.89105
144,5.0,30.0,1.741332,5.5,3.5,11.729290775,12.06715,2.7275,1.545,0.7225,0.61443,1.54573
145,2.5,214.0,25.494,22.0,5.6,49.496,9.1302,2.3080000000000003,1.9072,1.224,0.45825,5.07766
146,3.0,128.0,0.8147992000000001,8.4,4.0,16.862137999999998,11.107295,2.24,1.8000000000000005,0.945,0.4927189999999999,0.75249
147,1.8,42.0,10.507072,42.0,4.0,117.386335,9.05335,2.24,2.055,1.1800000000000002,0.448895,9.08
148,3.8,96.0,32.91,48.0,4.0,114.97573,9.1985,2.24,2.015,1.22,0.462985,5.52703
149,2.5,90.0,11.463996000000002,18.0,5.6,39.568056,12.0863,2.8680000000000003,1.6520000000000004,0.8640000000000001,0.476196,1.03196
150,3.5,100.0,7.558488000000001,8.8,4.8,15.69310028,11.909720000000002,2.884,1.662,0.792,0.499726,0.51006
151,2.8,224.0,17.623983999999997,11.3,4.8,23.231818,10.78917,2.644,1.794,0.96,0.4927989999999999,0.58973
152,3.8,58.0,11.874,19.33333333333333,4.666666666666667,39.987666666666655,9.5408,2.33,1.8800000000000001,1.106666666666667,0.4878333333333333,2.96536
153,2.0,20.0,1.741332,10.0,4.0,20.9940862215,10.0743,2.295,1.825,1.12,0.49901,0.0
154,2.8,117.0,13.612327000000002,9.5,4.16,20.322035645125,11.50615,2.55,1.6407999999999998,0.8216,0.4911100000000001,1.86069
155,6.0,114.0,8.228992,14.4,5.0,32.38773899975,11.510862500000002,2.7380000000000004,1.7520000000000002,0.914,0.48502,1.70947
156,5.5,126.0,13.551332,25.0,4.0,58.30341800000001,10.629,2.545,1.745,0.905,0.474714,4.52989
157,5.3,94.0,15.604,30.66666666666667,4.0,68.56273,9.0872,1.95,1.99,1.3,0.4587699999999999,1.86069
158,2.0,152.0,6.9074895000000005,7.4,4.307692307692308,14.956467523076924,12.198476923076925,2.7423076923076923,1.4538461538461538,0.6469230769230769,0.696926923076923,0.19112
159,2.5,790.0,105.514,39.5,4.25,93.78445,9.273855,2.2225,1.86625,1.1275,0.459375,5.2757
160,2.0,100.0,15.43,50.0,4.8,117.386335,9.01375,2.24,2.015,1.12,0.47888,7.715
161,6.0,66.0,6.697992,13.2,4.4,27.188418,10.73364,2.7380000000000004,1.7420000000000002,0.928,0.48502,1.42823
162,2.5,74.0,14.883996000000002,14.8,4.4,31.574635600000004,11.14446,2.684,1.732,0.9,0.4820359999999999,1.16243
163,4.0,46.0,7.134331999999999,26.0,4.0,63.97391,11.1994,2.545,1.93,1.11,0.47888,3.17705
164,6.0,122.0,14.485992,12.2,4.4,24.808518,11.33182,2.7270000000000003,1.715,0.8800000000000001,0.489272,1.35155
165,4.0,50.0,7.957992,10.0,4.8,20.3920334,12.04083,2.7030000000000003,1.6980000000000002,0.91,0.4927359999999999,1.69886
166,6.0,52.0,6.093996,11.6,4.8,22.909204146341462,10.98774,2.55,1.705,0.936,0.4978194999999999,1.4092
167,1.5,444.4,30.209299,7.106446776611693,3.859070464767616,13.953168815592203,12.340588305847074,2.6662668665667164,1.4908095952023992,0.6659670164917542,0.6422818740629685,0.69605
168,4.8,58.0,14.22,19.0,4.0,39.987666666666655,9.5408,2.295,1.8766666666666667,1.1266666666666667,0.4878333333333333,3.18933
169,4.8,169.0,0.7558488000000001,9.666666666666666,4.4444444444444455,18.807494949494952,11.268922222222226,2.8377777777777777,1.5488888888888888,0.7355555555555555,0.6045333333333334,0.56349
170,5.5,604.0,73.958979,27.16666666666667,4.416666666666667,64.17666666666668,10.296858333333333,2.4891666666666663,1.6975,0.9183333333333332,0.4663883333333334,4.44055
171,2.5,72.0,5.439908,9.0,4.0,18.01515585,11.777640000000002,2.79,1.62625,0.84875,0.4840125000000001,0.487
172,6.0,98.0,1.741332,9.8,4.6,19.8565257,10.73364,2.752,1.7380000000000002,0.946,0.490932,0.94589
173,2.5,146.0,15.266328,48.66666666666666,2.6666666666666665,114.44546666666668,8.604266666666666,2.1266666666666665,2.0066666666666664,1.2533333333333334,0.42668,7.66667
174,2.3,75.0,10.6133,25.0,4.333333333333333,55.64164,9.2708,2.3680000000000003,1.913333333333333,1.1840000000000002,0.46498,5.86433
175,7.8,30.0,0.9668328,10.0,4.8,20.3920334,12.04083,2.755,1.6309999999999998,0.91,0.4927359999999999,0.49916
176,4.0,42.0,8.109328,10.5,4.8,22.71843416666667,10.776008333333332,2.7266666666666666,1.75,0.912,0.49512,1.04896
177,3.8,46.0,9.133,23.0,4.0,48.7195,8.21315,2.205,1.905,1.2,0.47888,2.78022
178,4.0,42.0,9.133,20.0,4.0,43.952,9.706,2.352,1.904,0.945,0.481478,2.22589
179,3.8,124.0,20.855328,20.666666666666668,5.0,46.44374833333333,9.101866666666666,2.174333333333333,1.907,1.1366666666666667,0.4807316666666666,1.37165
180,6.0,100.0,8.337992,10.0,4.8,20.213348778,11.8895,2.826,1.656,0.8240000000000001,0.49282,0.72824
181,4.0,78.0,9.683996,15.6,4.8,34.72421799999999,10.75912,2.279,1.796,0.914,0.4927359999999999,1.9368
182,2.5,100.0,5.62148,10.0,4.8,20.9941265318,9.01375,2.5660000000000003,1.7,0.945,0.475954,0.0
183,4.0,90.0,11.463996000000002,19.0,5.6,39.568056,12.046624,2.8680000000000003,1.6520000000000004,0.8640000000000001,0.476196,1.96919
184,5.5,277.0,23.193328,13.190476190476188,4.714285714285714,29.03906259048037,10.563359183673471,2.7240983606557383,1.754190476190476,0.9642857142857144,0.4962833333333334,2.22761
185,5.5,3328.0,17.685487499999994,10.0,4.705882352941177,20.271085529411767,10.798135294117646,2.6682352941176477,1.6541176470588237,0.9,0.494904705882353,0.97761
186,6.3,76.0,15.751995999999998,15.2,4.4,31.937418,11.33182,2.7960000000000003,1.7280000000000002,0.8800000000000001,0.474714,2.9768
187,6.3,74.0,12.831992,14.4,4.4,31.574635600000004,11.14446,2.352,1.732,0.9,0.4820359999999999,1.56776
188,2.5,100.0,8.96849,10.0,4.8,20.3920334,12.30176,2.8280000000000003,1.6310000000000002,0.836,0.4927189999999999,0.56895
189,6.0,30.0,0.8649950000000001,10.0,4.8,23.099694928,11.522283333333334,2.755,1.6310000000000002,0.8800000000000001,0.4927359999999999,0.40894
190,2.5,235.0,18.205648,23.0,5.6,49.204038,10.75912,2.298,1.855,1.028,0.4673040000000001,2.07755
191,2.8,42.0,6.697992,10.4,4.8,22.977674666666665,11.10535,2.805,1.7020000000000004,0.8959999999999999,0.4927989999999999,1.96919
192,4.8,58.0,11.775328000000002,19.33333333333333,5.666666666666668,39.987666666666655,11.556733333333336,2.7383333333333337,1.7466666666666668,0.985,0.47888,2.2928
193,5.5,102.0,10.209328,11.44,4.44,22.5691257,10.73364,2.5948,1.765,0.9003999999999999,0.5368794,1.4092
194,1.5,0.9,0.8649950000000001,42.0,4.0,98.3407975,8.65415,2.04,1.9,1.2999999999999998,0.4776649999999999,0.51227
195,5.3,95.0,20.362,31.66666666666667,2.6666666666666665,69.51219666666667,9.512,2.279,1.9433333333333327,1.2033333333333334,0.448895,6.523
196,6.5,242.0,17.2474855,9.5,4.78125,19.14036490625,11.009378125,2.786875,1.788125,0.91125,0.49425875,0.81739
197,1.5,176.0,11.463996000000002,8.4,4.4,16.862137999999998,11.14446,2.8680000000000003,1.6520000000000004,0.8640000000000001,0.476196,0.2061
198,5.5,58.0,6.674328,9.666666666666666,5.0,20.185395713333328,11.496916666666666,2.901666666666667,1.711666666666667,0.9116666666666668,0.498984,0.86724
199,5.5,114.0,7.312664,11.5,4.583333333333333,22.57963877083333,10.459208333333336,2.6118750000000004,1.781666666666667,0.9933333333333336,0.4948558333333333,0.59057
200,2.0,112.0,13.747992000000002,27.6,5.6,65.56541800000001,11.11696,2.7380000000000004,1.7420000000000002,0.86,0.474655,3.1504
201,4.3,72.0,5.07666,9.0,5.0,18.78740068,12.06715,2.6625,1.59,0.82375,0.59942625,0.84019
202,5.5,100.0,5.9728255,10.0,4.8,20.2988926326,12.04083,2.755,1.7420000000000002,0.96,0.499404,0.77755
203,2.3,70.0,2.008328,4.666666666666667,3.2,8.808713333333333,13.51252,2.668,1.3186666666666669,0.5053333333333333,0.7623686666666668,0.1391
204,6.8,268.0,23.56984,13.5,5.0,29.94401875,11.026725,2.6725000000000003,1.875,0.8525,0.495275,3.52072
